127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000463
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001366
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/js/share.js, HTTP/1.1, 304, 0.000626
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000999
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/images/gplus-32.png, HTTP/1.1, 304, 0.002999
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/images/twitter.png, HTTP/1.1, 304, 0.002195
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/images/facebook.png, HTTP/1.1, 304, 0.001445
127.0.0.1, 2013-07-31 18:30:32, GET, /easyflow/static/images/glyphicons-halflings.png, HTTP/1.1, 304, 0.000913
127.0.0.1, 2013-07-31 18:30:43, GET, /easyflow/default/index, HTTP/1.1, 200, 0.259945
127.0.0.1, 2013-07-31 18:30:50, GET, /easyflow/default/index, HTTP/1.1, 200, 0.053850
127.0.0.1, 2013-07-31 18:30:50, GET, /easyflow/static/js/share.js, HTTP/1.1, 304, 0.000472
127.0.0.1, 2013-07-31 18:30:55, GET, /easyflow/default/index, HTTP/1.1, 200, 0.263433
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/default/site, HTTP/1.1, 200, 0.035915
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000430
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000354
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000346
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000681
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000439
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001187
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.007460
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001747
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001263
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000638
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000151
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000255
127.0.0.1, 2013-07-31 18:31:00, GET, /admin/static/images/folder.png, HTTP/1.1, 304, 0.000447
